loan_id,loan_status,loan_amnt,funded_amnt,interest_rate,monthly_payment,term,grade,sub_grade,dti,delinq_2yrs,inquiries_6mo,public_records,revolving_utilization,open_accounts,total_accounts,purpose,home_ownership,state,earliest_cr_Line,employment_length,annual_income,verification_status,VAR24,recoveries,total_rec_prncp,default_flag,_LEVEL_,pred_prob,Fair Rate ,Grade implied rate
45,Fully Paid,4200,4200,14.47,144.51,36 months,C,C2,18.93,0,0,0,49.2,7,8,debt_consolidation,RENT,MI,DEC2011,3 years,26000,Source Verified,4200,0,4200,0,1,0.2566223915,0.18577307790056388,0.1715567968159956
71,Fully Paid,10000,10000,7.56,311.34,36 months,A,A3,31.11,0,0,0,14,51,73,debt_consolidation,MORTGAGE,PA,APR2004,6 years,108000,Not Verified,10000,0,10000,0,1,0.0843310164,0.10212325699374343,0.09318522201240317
100,Fully Paid,12000,12000,17.97,304.53,60 months,D,D1,11.45,0,0,1,40.1,10,18,credit_card,RENT,DC,MAR2013,9 years,37000,Not Verified,12000,0,12000,0,1,0.2770890377,0.19858625402785515,0.21124155917823043
119,Fully Paid,40000,40000,7.56,1245.36,36 months,A,A3,15.81,0,1,0,8.9,20,49,debt_consolidation,MORTGAGE,MA,JUN2005,10+ years,151785,Source Verified,40000,0,40000,0,1,0.0742267789,0.09827436447715425,0.09318522201240317
214,Fully Paid,25000,25000,11.8,553.59,60 months,B,B4,22.74,0,0,0,78.4,4,12,debt_consolidation,OWN,NY,DEC1999,n/a,24744,Verified,25000,0,25000,0,1,0.2338196503,0.16652556691298795,0.12551628685844768
255,Fully Paid,30000,30000,18.94,1098.78,36 months,D,D2,27.03,1,0,0,57.4,9,13,debt_consolidation,OWN,MA,MAY2005,1 year,52000,Source Verified,30000,0,30000,0,1,0.4205956699,0.2651821050074596,0.21124155917823043
313,Fully Paid,10000,10000,17.97,361.38,36 months,D,D1,6,0,0,0,49.8,4,5,debt_consolidation,RENT,NY,JUL2015,3 years,35000,Not Verified,10000,0,10000,0,1,0.2537966977,0.1877771842320811,0.21124155917823043
356,Fully Paid,30000,30000,22.35,1151.16,36 months,D,D5,30.46,0,0,1,37,11,19,debt_consolidation,MORTGAGE,CA,JAN2012,5 years,100000,Source Verified,30000,0,30000,0,1,0.4116738979,0.2610418573444947,0.21124155917823043
360,Fully Paid,16800,16800,27.27,515.71,60 months,E,E5,36.22,0,0,0,51.9,20,33,debt_consolidation,MORTGAGE,FL,OCT2004,10+ years,72999,Not Verified,16800,0,16800,0,1,0.4563183437,0.2985714621396336,0.26321838497840144
377,Fully Paid,3000,3000,16.14,105.68,36 months,C,C4,4.49,0,2,1,23.9,6,23,debt_consolidation,OWN,IN,FEB2010,6 years,35000,Not Verified,3000,0,3000,0,1,0.1425968669,0.13433140180594896,0.1715567968159956
385,Fully Paid,16800,16800,14.47,395.02,60 months,C,C2,12.1,0,0,0,20.2,59,92,home_improvement,MORTGAGE,IL,APR1988,5 years,185000,Not Verified,16800,0,16800,0,1,0.2277721686,0.17275753750392497,0.1715567968159956
386,Fully Paid,10000,10000,7.02,308.87,36 months,A,A2,13.36,0,0,0,25,8,26,home_improvement,MORTGAGE,TX,AUG2002,7 years,82000,Not Verified,10000,0,10000,0,1,0.0418975962,0.08595957581927934,0.09318522201240317
478,Fully Paid,7200,7200,8.81,228.33,36 months,A,A5,11.15,1,0,0,30.5,10,12,moving,MORTGAGE,NC,APR2005,10+ years,92000,Not Verified,7200,0,7200,0,1,0.0466704732,0.08777765368689681,0.09318522201240317
502,Fully Paid,9600,9600,7.02,296.51,36 months,A,A2,5.99,0,1,0,43.1,4,10,credit_card,OWN,VA,OCT2005,3 years,74680,Not Verified,9600,0,9600,0,1,0.0436121722,0.08661268979601665,0.09318522201240317
570,Fully Paid,40000,40000,16.14,975.71,60 months,C,C4,50.53,0,0,0,64.5,18,37,credit_card,MORTGAGE,OH,JUN2009,< 1 year,45000,Verified,40000,0,40000,0,1,0.388131137,0.24510216507952473,0.1715567968159956
618,Fully Paid,20000,20000,7.56,622.68,36 months,A,A3,18.92,0,0,0,29.9,9,19,credit_card,MORTGAGE,WA,FEB1999,10+ years,100000,Not Verified,20000,0,20000,0,1,0.0532901354,0.09029920648134848,0.09318522201240317
623,Fully Paid,15000,15000,18.94,388.62,60 months,D,D2,31.15,1,0,0,13.3,18,35,credit_card,MORTGAGE,VA,MAY2007,7 years,68000,Not Verified,15000,0,15000,0,1,0.3022524738,0.21026362680819413,0.21124155917823043
688,Fully Paid,4500,4500,11.31,147.99,36 months,B,B3,4.64,0,0,0,15.3,12,25,credit_card,RENT,TX,DEC2003,10+ years,38500,Not Verified,4500,0,4500,0,1,0.1040323754,0.11294670700219496,0.12551628685844768
784,Fully Paid,7000,7000,10.33,226.96,36 months,B,B1,14.67,0,1,0,0.3,11,29,vacation,MORTGAGE,MA,OCT1995,10+ years,58000,Source Verified,7000,0,7000,0,1,0.0976464404,0.11031046152259726,0.12551628685844768
793,Fully Paid,8425,8425,27.27,345.18,36 months,E,E5,12.37,0,0,0,65.7,21,37,credit_card,MORTGAGE,MA,OCT1997,3 years,450000,Verified,8425,0,8425,0,1,0.3457884525,0.24320665116826476,0.26321838497840144
811,Fully Paid,10000,10000,14.47,235.13,60 months,C,C2,10.96,0,0,0,23.3,11,36,home_improvement,MORTGAGE,CT,JAN2002,4 years,73000,Source Verified,10000,0,10000,0,1,0.1667049642,0.14520757130321307,0.1715567968159956
846,Fully Paid,1500,1500,7.56,46.71,36 months,A,A3,11.9,2,2,0,1.1,23,41,home_improvement,OWN,TX,NOV1975,n/a,70000,Not Verified,1500,0,1500,0,1,0.0899215655,0.1042528014145485,0.09318522201240317
934,Fully Paid,10000,10000,10.33,214.1,60 months,B,B1,11.98,0,0,0,22.4,16,36,debt_consolidation,MORTGAGE,CA,OCT2003,10+ years,61000,Source Verified,10000,0,10000,0,1,0.1034090484,0.11268938477983266,0.12551628685844768
1018,Fully Paid,6000,6000,18.94,219.76,36 months,D,D2,8.26,0,1,0,77,6,8,debt_consolidation,RENT,FL,AUG2012,3 years,71200,Not Verified,6000,0,6000,0,1,0.2592326608,0.19029980345175385,0.21124155917823043
1020,Fully Paid,8000,8000,14.47,275.26,36 months,C,C2,8.43,1,1,0,37.1,10,22,debt_consolidation,RENT,NJ,OCT2001,10+ years,250000,Source Verified,8000,0,8000,0,1,0.220723578,0.16957762392018386,0.1715567968159956
1042,Fully Paid,20000,20000,17.97,507.55,60 months,D,D1,22.18,0,0,0,45.9,10,16,debt_consolidation,RENT,WA,APR1995,4 years,57000,Not Verified,20000,0,20000,0,1,0.3431698587,0.22925179498900602,0.21124155917823043
1046,Fully Paid,6600,6600,11.31,217.05,36 months,B,B3,16.21,0,0,0,58.2,6,13,credit_card,RENT,TX,APR2009,10+ years,45000,Not Verified,6600,0,6600,0,1,0.1241133939,0.12123656498639664,0.12551628685844768
1047,Fully Paid,30000,30000,27.27,920.91,60 months,E,E5,19.29,0,3,0,75.6,40,54,debt_consolidation,MORTGAGE,OH,SEP2004,5 years,95000,Source Verified,30000,0,30000,0,1,0.5182797641,0.3296081553881249,0.26321838497840144
1158,Fully Paid,2500,2500,13.56,84.92,36 months,C,C1,15.09,0,0,0,31.6,3,6,other,RENT,PA,MAR2004,5 years,42000,Not Verified,2500,0,2500,0,1,0.1813192585,0.15180068978584424,0.1715567968159956
1165,Fully Paid,5000,5000,7.56,155.67,36 months,A,A3,2.4,0,2,0,26.7,10,54,major_purchase,MORTGAGE,TX,FEB1998,3 years,76500,Not Verified,5000,0,5000,0,1,0.0271612275,0.08034621813532454,0.09318522201240317
1240,Fully Paid,8000,8000,10.72,260.86,36 months,B,B2,4.22,0,1,0,27.3,4,5,credit_card,MORTGAGE,AZ,SEP2013,2 years,115000,Not Verified,8000,0,8000,0,1,0.0787389836,0.10250507397642132,0.12551628685844768
1370,Fully Paid,16000,16000,13.56,368.66,60 months,C,C1,22.18,0,0,1,32.5,10,23,debt_consolidation,MORTGAGE,OR,NOV2005,10+ years,93000,Source Verified,16000,0,16000,0,1,0.2072890241,0.1635167356004519,0.1715567968159956
1437,Fully Paid,12000,12000,6.46,367.57,36 months,A,A1,7.89,0,1,0,7.9,7,17,debt_consolidation,MORTGAGE,MA,DEC2001,2 years,75000,Verified,12000,0,12000,0,1,0.0428574444,0.08632519990066514,0.09318522201240317
1441,Fully Paid,4000,4000,17.97,144.55,36 months,D,D1,19.1,0,1,0,7.3,11,18,house,MORTGAGE,TX,JUN2007,5 years,60000,Source Verified,4000,0,4000,0,1,0.2283548469,0.17597061000935935,0.21124155917823043
1461,Fully Paid,2700,2700,8.19,84.85,36 months,A,A4,24.95,0,0,1,36.4,21,28,credit_card,OWN,MI,OCT2002,4 years,24000,Not Verified,2700,0,2700,0,1,0.0686533809,0.09615135323022216,0.09318522201240317
1571,Fully Paid,1000,1000,23.4,38.92,36 months,E,E1,20.78,0,0,0,72.8,4,38,debt_consolidation,RENT,OH,SEP2007,3 years,60000,Source Verified,1000,0,1000,0,1,0.3419461588,0.24128203274977686,0.26321838497840144
1596,Fully Paid,15000,15000,7.56,467.01,36 months,A,A3,2.62,0,0,0,39.2,7,45,house,MORTGAGE,ID,FEB2006,10+ years,200000,Not Verified,15000,0,15000,0,1,0.0248584862,0.07946906102602155,0.09318522201240317
1714,Fully Paid,8000,8000,7.56,249.08,36 months,A,A3,20.1,0,0,0,61.2,17,29,other,MORTGAGE,CA,JAN1987,10+ years,250000,Not Verified,8000,0,8000,0,1,0.0475358875,0.08810730613449806,0.09318522201240317
1810,Fully Paid,13500,13500,8.19,424.23,36 months,A,A4,30.29,0,2,1,33.6,9,19,credit_card,MORTGAGE,PA,MAY2006,7 years,59000,Not Verified,13500,0,13500,0,1,0.0619232361,0.09358771555283367,0.09318522201240317
1840,Fully Paid,15500,15500,14.47,364.45,60 months,C,C2,25.5,0,0,0,50.2,10,40,debt_consolidation,MORTGAGE,OH,JUN1999,10+ years,115000,Not Verified,15500,0,15500,0,1,0.1688014787,0.1461533965490516,0.1715567968159956
1845,Fully Paid,25000,25000,12.98,568.58,60 months,B,B5,9.73,0,2,0,16.1,15,62,debt_consolidation,MORTGAGE,TX,JAN2004,9 years,108000,Source Verified,25000,0,25000,0,1,0.1079951227,0.1145826106962371,0.12551628685844768
1890,Fully Paid,6025,6025,18.94,220.67,36 months,D,D2,3.02,1,1,0,1.2,14,21,debt_consolidation,RENT,MA,FEB2005,3 years,36000,Source Verified,6025,0,6025,0,1,0.3024494283,0.21035502573750273,0.21124155917823043
1907,Fully Paid,1300,1300,8.81,41.23,36 months,A,A5,20.13,0,0,0,10.2,7,10,credit_card,RENT,KS,JUN2010,4 years,40000,Source Verified,1300,0,1300,0,1,0.0801778104,0.10054122336743039,0.09318522201240317
